Age,Gender,Education,Job_Role,Department,Experience,Salary
43.0,Male,Master's,Manager,HR,17.0,102539
36.0,Female,Bachelor's,Analyst,IT,13.0,69501
37.0,Female,High School,Intern,Finance,11.0,45887
,Male,Bachelor's,Analyst,Marketing,17.0,70948
27.0,Male,High School,Analyst,HR,4.0,48794
31.0,Female,PhD,Manager,Marketing,6.0,94027
28.0,Male,Bachelor's,Director,IT,3.0,94094
38.0,Male,Master's,Manager,Operations,12.0,99015
,Female,Bachelor's,Analyst,Finance,15.0,81699
46.0,Female,Bachelor's,Analyst,IT,21.0,74981
49.0,Female,Bachelor's,Director,Finance,27.0,123545
40.0,Male,Bachelor's,Intern,IT,15.0,65167
41.0,Male,PhD,Director,IT,18.0,123744
28.0,Female,Master's,Engineer,IT,3.0,74664
43.0,Female,PhD,Intern,HR,19.0,72611
41.0,Male,Master's,Engineer,Marketing,19.0,93146
49.0,Male,Bachelor's,Engineer,Operations,27.0,97829
25.0,Male,PhD,Engineer,Marketing,0.0,77145
36.0,Female,High School,Engineer,Marketing,12.0,76955
42.0,Female,Bachelor's,Director,Finance,19.0,113140
44.0,Male,High School,Engineer,HR,19.0,80881
44.0,Female,Bachelor's,Engineer,HR,21.0,89481
32.0,Female,Bachelor's,Engineer,IT,8.0,68284
34.0,Female,Bachelor's,Analyst,Marketing,9.0,68591
30.0,Male,Master's,Manager,Operations,,90380
44.0,Male,Bachelor's,Analyst,Finance,21.0,79881
31.0,Female,Bachelor's,Analyst,HR,6.0,67013
,Male,Bachelor's,Manager,IT,22.0,93126
40.0,Female,High School,Manager,Operations,15.0,93610
42.0,Female,Master's,Director,Marketing,16.0,110135
47.0,Male,High School,Engineer,Operations,23.0,89163
22.0,Female,PhD,Intern,HR,0.0,58823
31.0,Female,Master's,Intern,Finance,8.0,49071
53.0,Female,Bachelor's,Director,Marketing,29.0,135680
35.0,Female,High School,Manager,Finance,13.0,84812
36.0,Female,Master's,Engineer,Operations,14.0,86981
27.0,Female,Master's,Intern,Operations,3.0,51608
46.0,Male,Master's,Engineer,IT,24.0,108612
29.0,Female,Master's,Analyst,Marketing,7.0,80363
50.0,Male,High School,Engineer,Operations,24.0,89040
39.0,Male,Bachelor's,Analyst,HR,14.0,75231
55.0,Male,High School,Intern,HR,29.0,74100
46.0,Male,Master's,Manager,Finance,21.0,115276
46.0,Male,Master's,Manager,HR,24.0,116737
28.0,Female,Bachelor's,Manager,Operations,3.0,74705
44.0,Female,High School,Engineer,HR,18.0,82921
25.0,Male,Bachelor's,Analyst,Marketing,2.0,48019
30.0,Female,Bachelor's,Manager,Finance,7.0,74483
26.0,Male,Master's,Manager,Marketing,1.0,84035
,Female,Master's,Engineer,Operations,27.0,106375
45.0,Male,Master's,Director,Operations,21.0,124048
47.0,Male,Bachelor's,Analyst,HR,24.0,77661
49.0,Male,High School,Analyst,IT,24.0,82766
29.0,Female,Master's,Analyst,IT,7.0,55032
33.0,Female,Master's,Engineer,Operations,7.0,82634
39.0,Male,Bachelor's,Director,Operations,16.0,112632
40.0,Male,Master's,Director,Finance,15.0,117497
41.0,Female,Bachelor's,Engineer,Operations,15.0,89643
39.0,Female,Bachelor's,Manager,Operations,15.0,90612
48.0,Male,Bachelor's,Manager,Finance,26.0,122808
32.0,Male,High School,Analyst,Marketing,6.0,46510
55.0,Male,High School,Analyst,Marketing,29.0,88804
39.0,Female,High School,Intern,Finance,14.0,60110
,Male,Master's,Manager,Finance,16.0,104944
47.0,Female,Bachelor's,Intern,Marketing,24.0,70399
26.0,Female,Bachelor's,Engineer,Marketing,2.0,68969
22.0,Male,PhD,Manager,Marketing,0.0,87133
30.0,Female,Bachelor's,Analyst,Marketing,7.0,56183
30.0,Male,Bachelor's,Engineer,HR,6.0,74460
39.0,Male,Master's,Engineer,Finance,17.0,99266
55.0,Female,Bachelor's,Engineer,IT,29.0,105347
48.0,Male,High School,Analyst,HR,22.0,75328
30.0,Female,Bachelor's,Engineer,IT,4.0,68834
40.0,Female,Bachelor's,Analyst,IT,14.0,70041
29.0,Male,PhD,Manager,Operations,6.0,97613
35.0,Female,Master's,Engineer,Finance,9.0,76722
38.0,Female,Master's,Analyst,HR,15.0,76846
50.0,Male,Master's,Analyst,Finance,27.0,98459
46.0,Female,Master's,Analyst,Marketing,22.0,101540
27.0,Male,Bachelor's,Manager,Finance,1.0,69779
42.0,Male,Master's,Analyst,IT,17.0,81024
40.0,Female,Bachelor's,Director,Marketing,14.0,100530
47.0,Female,Master's,Analyst,Finance,22.0,80608
44.0,Male,Master's,Analyst,Finance,18.0,91927
42.0,Female,Bachelor's,Intern,IT,19.0,69150
39.0,Male,High School,Manager,Marketing,13.0,92276
48.0,Female,Bachelor's,Analyst,IT,22.0,73592
55.0,Male,Bachelor's,Director,Finance,29.0,132660
27.0,Male,Master's,Engineer,HR,1.0,82190
52.0,Female,Master's,Director,HR,28.0,140795
41.0,Female,High School,Manager,Operations,17.0,94326
31.0,Female,Bachelor's,Manager,HR,8.0,82155
49.0,Male,Bachelor's,Intern,Marketing,26.0,84290
25.0,Male,Bachelor's,Analyst,Operations,0.0,46778
38.0,Female,High School,Manager,Marketing,15.0,91021
,Female,Bachelor's,Engineer,HR,,73307
34.0,Male,PhD,Analyst,HR,11.0,82018
,Female,Bachelor's,Analyst,Finance,18.0,81883
34.0,Female,Bachelor's,Analyst,Marketing,,68017
43.0,Male,Master's,Manager,IT,19.0,110587
27.0,Female,Bachelor's,Manager,Finance,4.0,90761
27.0,Male,PhD,Manager,Marketing,2.0,91951
31.0,Male,PhD,Analyst,Operations,8.0,83728
43.0,Female,Bachelor's,Engineer,Marketing,,89187
46.0,Female,Bachelor's,Intern,Operations,22.0,64776
38.0,Female,Bachelor's,Engineer,Operations,14.0,82002
36.0,Male,Bachelor's,Manager,HR,13.0,85095
36.0,Male,High School,Director,IT,10.0,94605
38.0,Male,Master's,Director,Marketing,12.0,112534
28.0,Female,Bachelor's,Engineer,IT,6.0,74084
48.0,Male,High School,Intern,Operations,26.0,68930
46.0,Male,Bachelor's,Engineer,HR,,96508
25.0,Male,PhD,Intern,IT,1.0,55880
25.0,Female,Bachelor's,Analyst,Finance,2.0,58650
44.0,Male,High School,Engineer,Operations,19.0,87626
30.0,Female,Bachelor's,Analyst,Finance,7.0,66891
23.0,Female,PhD,Director,IT,0.0,90710
46.0,Male,Bachelor's,Engineer,IT,24.0,103349
43.0,Male,Master's,Analyst,IT,20.0,91485
25.0,Male,Master's,Analyst,Marketing,3.0,72733
35.0,Female,Bachelor's,Intern,Operations,12.0,53372
48.0,Female,Master's,Director,Operations,23.0,126988
39.0,Female,Bachelor's,Manager,Operations,13.0,94825
34.0,Female,Master's,Manager,Marketing,8.0,81914
26.0,Male,Master's,Engineer,IT,2.0,59311
38.0,Male,Bachelor's,Engineer,IT,13.0,83066
26.0,Female,High School,Intern,Finance,3.0,28705
41.0,Female,Master's,Analyst,Marketing,16.0,75308
37.0,Female,Bachelor's,Engineer,HR,14.0,85709
36.0,Female,Bachelor's,Engineer,Marketing,11.0,70561
38.0,Female,High School,Engineer,Finance,13.0,76989
44.0,Female,Bachelor's,Engineer,Finance,18.0,84668
34.0,Female,Master's,Engineer,Finance,9.0,78960
28.0,Female,High School,Analyst,IT,,49800
51.0,Male,Bachelor's,Engineer,HR,28.0,97814
45.0,Male,Bachelor's,Analyst,Finance,23.0,93164
54.0,Female,Master's,Analyst,Operations,29.0,100973
38.0,Male,Bachelor's,Analyst,IT,16.0,73911
42.0,Male,Master's,Director,HR,16.0,121162
24.0,Male,Bachelor's,Engineer,Operations,2.0,70354
39.0,Female,PhD,Manager,HR,15.0,109880
48.0,Female,High School,Manager,HR,24.0,105460
34.0,Female,Bachelor's,Manager,Operations,8.0,89758
40.0,Male,High School,Engineer,Marketing,16.0,85336
,Female,PhD,Engineer,HR,19.0,104155
35.0,Male,Master's,Engineer,Marketing,11.0,90261
48.0,Female,Bachelor's,Manager,HR,23.0,111354
25.0,Female,Master's,Engineer,Operations,1.0,73634
42.0,Male,Master's,Director,HR,19.0,111442
41.0,Female,Bachelor's,Intern,Finance,15.0,66785
46.0,Male,Bachelor's,Analyst,Finance,22.0,88197
45.0,Female,Bachelor's,Analyst,HR,22.0,86299
45.0,Female,High School,Manager,Operations,20.0,92955
44.0,Female,Master's,Engineer,Operations,22.0,111238
27.0,Male,PhD,Analyst,IT,5.0,73210
27.0,Female,Master's,Intern,Operations,1.0,49932
34.0,Male,Bachelor's,Analyst,Marketing,8.0,56274
26.0,Male,Bachelor's,Intern,HR,4.0,42431
39.0,Male,Master's,Manager,Finance,17.0,107837
47.0,Female,Master's,Director,Operations,21.0,121095
47.0,Female,Master's,Analyst,Finance,25.0,92202
44.0,Female,Master's,Analyst,IT,20.0,90679
40.0,Female,Master's,Engineer,HR,17.0,100729
54.0,Female,High School,Analyst,Operations,28.0,76717
32.0,Male,Bachelor's,Engineer,Finance,9.0,86980
34.0,Male,Master's,Engineer,Operations,9.0,79174
47.0,Male,Master's,Analyst,IT,22.0,85823
33.0,Male,High School,Analyst,Finance,9.0,63152
53.0,Male,High School,Director,Finance,28.0,123446
43.0,Male,Master's,Analyst,HR,17.0,88359
39.0,Female,High School,Analyst,HR,15.0,60277
46.0,Male,Bachelor's,Manager,Finance,22.0,109259
55.0,Male,Bachelor's,Intern,HR,,94281
27.0,Male,Master's,Engineer,Finance,5.0,73232
34.0,Male,Master's,Analyst,Marketing,11.0,78158
53.0,Female,Bachelor's,Manager,Operations,27.0,110628
25.0,Male,Master's,Intern,Marketing,3.0,45277
41.0,Female,Bachelor's,Director,Marketing,19.0,113258
40.0,Female,Bachelor's,Manager,Operations,15.0,96346
51.0,Male,Master's,Engineer,Finance,27.0,109655
,Male,Master's,Engineer,Finance,21.0,101139
49.0,Female,Master's,Analyst,HR,24.0,105008
50.0,Male,Master's,Manager,IT,25.0,128038
45.0,Male,Bachelor's,Manager,Finance,21.0,106373
47.0,Male,High School,Intern,Operations,21.0,61978
36.0,Female,Bachelor's,Engineer,IT,10.0,84258
26.0,Male,Bachelor's,Analyst,Operations,0.0,53677
30.0,Female,Bachelor's,Engineer,Operations,4.0,69332
41.0,Female,PhD,Manager,Operations,16.0,125232
33.0,Female,Bachelor's,Director,IT,10.0,96686
36.0,Male,Master's,Analyst,Marketing,13.0,77434
32.0,Female,Master's,Engineer,Operations,8.0,81314
32.0,Male,Master's,Engineer,HR,9.0,85843
29.0,Female,Bachelor's,Engineer,Finance,3.0,61215
26.0,Male,Bachelor's,Intern,Finance,1.0,41859
50.0,Male,Bachelor's,Engineer,Finance,24.0,96636
,Female,Bachelor's,Director,IT,5.0,98681
54.0,Female,Master's,Manager,HR,29.0,123937
48.0,Female,Bachelor's,Director,HR,26.0,122142
50.0,Male,High School,Engineer,HR,28.0,99453
49.0,Male,Master's,Director,HR,25.0,132063
24.0,Male,Bachelor's,Engineer,HR,2.0,63704
35.0,Female,PhD,Engineer,Marketing,12.0,95018
34.0,Male,PhD,Analyst,HR,11.0,80086
39.0,Male,PhD,Engineer,HR,17.0,113807
29.0,Male,Bachelor's,Engineer,IT,5.0,72246
31.0,Female,High School,Engineer,IT,9.0,71340
30.0,Female,PhD,Intern,HR,5.0,64107
54.0,Male,Bachelor's,Analyst,Marketing,29.0,94909
52.0,Female,PhD,Director,HR,27.0,140404
52.0,Female,PhD,Intern,HR,,91043
46.0,Female,Master's,Analyst,HR,24.0,91882
,Female,Bachelor's,Manager,Operations,4.0,83302
52.0,Female,Bachelor's,Engineer,Marketing,,98838
39.0,Female,Master's,Analyst,Finance,14.0,85476
38.0,Female,Bachelor's,Engineer,HR,14.0,91472
35.0,Female,Bachelor's,Intern,Finance,11.0,45850
30.0,Female,Bachelor's,Analyst,Marketing,8.0,70011
38.0,Male,PhD,Manager,HR,12.0,102453
37.0,Male,Master's,Engineer,Finance,15.0,91190
43.0,Female,Bachelor's,Intern,Finance,20.0,68749
26.0,Female,High School,Analyst,Marketing,1.0,33078
39.0,Female,Master's,Manager,HR,16.0,102569
31.0,Female,PhD,Manager,Operations,8.0,102849
49.0,Male,High School,Manager,Marketing,25.0,97395
48.0,Female,Bachelor's,Intern,Operations,22.0,64682
43.0,Male,Master's,Director,HR,18.0,130275
49.0,Male,Master's,Analyst,Finance,27.0,99165
30.0,Male,Master's,Engineer,Marketing,5.0,82556
47.0,Male,Master's,Engineer,Marketing,25.0,117146
25.0,Male,Bachelor's,Engineer,Marketing,3.0,70566
55.0,Male,Bachelor's,Engineer,IT,29.0,102998
47.0,Female,Master's,Engineer,HR,24.0,103028
36.0,Female,Master's,Engineer,IT,14.0,93679
43.0,Male,Master's,Intern,Marketing,,74979
52.0,Female,PhD,Analyst,Marketing,29.0,110827
49.0,Male,Bachelor's,Intern,Operations,26.0,80850
36.0,Female,Bachelor's,Engineer,IT,11.0,77916
36.0,Male,Master's,Manager,Finance,11.0,98571
44.0,Male,Master's,Director,HR,19.0,120395
40.0,Female,Master's,Engineer,Finance,,89671
29.0,Male,Master's,Engineer,Finance,6.0,74564
53.0,Female,Master's,Engineer,HR,29.0,111660
44.0,Male,Bachelor's,Engineer,Marketing,19.0,94184
30.0,Female,Bachelor's,Intern,Operations,4.0,44174
36.0,Female,High School,Director,Marketing,11.0,92401
38.0,Female,Bachelor's,Analyst,Marketing,16.0,72705
27.0,Female,High School,Analyst,IT,1.0,34427
53.0,Female,Bachelor's,Engineer,Finance,27.0,99842
26.0,Male,Bachelor's,Analyst,Finance,3.0,58299
25.0,Male,Bachelor's,Manager,Finance,1.0,69723
,Female,Bachelor's,Analyst,Operations,13.0,61682
,Male,High School,Engineer,Operations,13.0,67364
36.0,Male,High School,Analyst,Operations,12.0,57535
40.0,Female,Master's,Engineer,HR,16.0,93685
47.0,Female,Bachelor's,Manager,Operations,25.0,112660
,Male,High School,Engineer,IT,16.0,81523
46.0,Female,Bachelor's,Intern,IT,21.0,68278
42.0,Female,Master's,Intern,Marketing,17.0,75145
28.0,Female,Bachelor's,Engineer,Marketing,2.0,59028
46.0,Male,Master's,Analyst,Marketing,20.0,94009
41.0,Female,High School,Director,Marketing,15.0,102296
43.0,Male,High School,Intern,IT,18.0,46965
31.0,Female,Bachelor's,Director,Marketing,5.0,94037
48.0,Male,Bachelor's,Analyst,IT,22.0,94587
50.0,Female,Master's,Intern,Operations,25.0,93752
,Female,Master's,Engineer,Operations,,77409
,Female,PhD,Manager,HR,17.0,118487
34.0,Male,Bachelor's,Intern,Marketing,8.0,44443
41.0,Male,Bachelor's,Analyst,Operations,17.0,69109
28.0,Male,Master's,Intern,Operations,,52554
33.0,Male,Bachelor's,Engineer,Finance,8.0,71562
47.0,Female,Bachelor's,Intern,Finance,24.0,74742
42.0,Female,High School,Engineer,IT,17.0,82644
48.0,Male,High School,Intern,HR,24.0,68958
38.0,Male,PhD,Analyst,Finance,15.0,93600
47.0,Male,Master's,Manager,HR,,119035
51.0,Male,Master's,Engineer,Operations,29.0,119141
45.0,Male,Bachelor's,Engineer,IT,22.0,100144
35.0,Male,Bachelor's,Analyst,HR,12.0,67039
33.0,Female,Bachelor's,Manager,Finance,10.0,78767
29.0,Male,Bachelor's,Analyst,Operations,7.0,54393
47.0,Male,Bachelor's,Manager,Marketing,25.0,114445
47.0,Male,Master's,Engineer,Operations,23.0,105336
38.0,Female,Master's,Intern,Finance,16.0,80216
33.0,Male,Bachelor's,Analyst,Finance,8.0,54121
31.0,Female,PhD,Analyst,Marketing,5.0,77959
23.0,Female,Master's,Analyst,Operations,0.0,57916
24.0,Male,Bachelor's,Engineer,HR,0.0,57972
36.0,Female,Master's,Analyst,HR,12.0,84852
30.0,Male,Bachelor's,Engineer,Operations,6.0,65530
33.0,Female,Bachelor's,Intern,HR,9.0,53199
40.0,Male,Bachelor's,Manager,Operations,17.0,105746
29.0,Male,Master's,Manager,Operations,,85319
35.0,Female,High School,Analyst,Finance,12.0,50824
28.0,Male,High School,Manager,IT,4.0,75082
44.0,Male,High School,Analyst,Finance,20.0,77696
51.0,Female,High School,Director,HR,25.0,112967
39.0,Female,Master's,Engineer,IT,14.0,83114
33.0,Male,Master's,Engineer,Operations,11.0,87734
43.0,Female,Bachelor's,Engineer,HR,21.0,92028
51.0,Male,High School,Intern,Marketing,29.0,64191
,Female,Bachelor's,Analyst,HR,10.0,67898
,Female,Bachelor's,Manager,IT,7.0,80927
26.0,Female,Bachelor's,Analyst,IT,4.0,59060
29.0,Male,Bachelor's,Manager,Operations,7.0,96000
26.0,Male,Bachelor's,Intern,Marketing,4.0,43840
32.0,Male,Master's,Engineer,Operations,9.0,83918
39.0,Male,Master's,Engineer,Marketing,14.0,91597
30.0,Male,High School,Intern,Marketing,5.0,36988
46.0,Female,Bachelor's,Engineer,Operations,23.0,90673
43.0,Male,Master's,Engineer,HR,17.0,97047
46.0,Female,Bachelor's,Manager,Finance,22.0,104174
25.0,Female,Master's,Manager,Marketing,2.0,82761
32.0,Female,Master's,Analyst,IT,8.0,66325
34.0,Male,Bachelor's,Director,Operations,9.0,101775
30.0,Female,High School,Engineer,HR,6.0,59088
,Male,Master's,Analyst,Marketing,18.0,86907
47.0,Male,High School,Director,HR,23.0,114970
49.0,Male,Bachelor's,Engineer,Operations,25.0,99814
26.0,Male,PhD,Analyst,IT,1.0,60458
51.0,Female,Bachelor's,Manager,Marketing,25.0,108477
51.0,Male,Bachelor's,Intern,Marketing,27.0,78070
32.0,Female,Master's,Intern,HR,7.0,49912
28.0,Female,Bachelor's,Intern,Operations,6.0,48565
51.0,Male,Bachelor's,Intern,Finance,27.0,85677
28.0,Female,PhD,Analyst,Marketing,4.0,74525
,Female,Bachelor's,Engineer,IT,3.0,60322
33.0,Female,PhD,Director,Marketing,10.0,129137
51.0,Male,PhD,Engineer,Marketing,25.0,112886
49.0,Female,Bachelor's,Manager,Finance,,115760
51.0,Male,High School,Manager,Finance,29.0,106099
31.0,Male,High School,Engineer,Operations,9.0,68551
23.0,Male,High School,Intern,Marketing,0.0,36901
50.0,Male,High School,Engineer,Marketing,28.0,90644
26.0,Female,Master's,Engineer,HR,3.0,72153
47.0,Female,High School,Intern,HR,21.0,62328
28.0,Female,Bachelor's,Engineer,IT,5.0,60868
43.0,Male,Master's,Analyst,IT,17.0,87617
50.0,Female,High School,Engineer,HR,24.0,86378
38.0,Male,Master's,Director,IT,12.0,112245
37.0,Female,Bachelor's,Director,Marketing,12.0,98484
26.0,Male,High School,Director,Finance,0.0,72296
26.0,Male,Master's,Manager,Marketing,3.0,86436
28.0,Male,Master's,Engineer,HR,3.0,82288
39.0,Male,Master's,Intern,Operations,17.0,66720
45.0,Female,Master's,Intern,Operations,23.0,85072
50.0,Male,Master's,Analyst,HR,26.0,103551
43.0,Female,Bachelor's,Analyst,Marketing,17.0,80384
41.0,Female,Bachelor's,Intern,IT,17.0,62643
40.0,Female,Master's,Intern,IT,14.0,68183
43.0,Male,Master's,Intern,Operations,17.0,79146
37.0,Male,PhD,Intern,HR,14.0,79748
39.0,Male,Bachelor's,Engineer,HR,16.0,86105
50.0,Female,Bachelor's,Manager,Finance,28.0,110136
29.0,Male,Master's,Engineer,Operations,4.0,85181
32.0,Male,Bachelor's,Analyst,HR,10.0,65587
41.0,Female,PhD,Manager,Finance,15.0,109767
44.0,Male,Master's,Engineer,IT,19.0,101137
25.0,Female,Bachelor's,Manager,Operations,1.0,64968
42.0,Female,Master's,Engineer,Operations,16.0,97470
23.0,Female,Master's,Engineer,HR,0.0,73044
39.0,Male,High School,Analyst,HR,17.0,69254
38.0,Male,PhD,Engineer,Marketing,16.0,106697
,Female,Bachelor's,Analyst,IT,24.0,87406
39.0,Female,Master's,Analyst,IT,17.0,86493
40.0,Male,Bachelor's,Intern,Finance,18.0,68407
49.0,Male,Master's,Analyst,Finance,24.0,99216
30.0,Female,Bachelor's,Engineer,Marketing,4.0,66360
54.0,Female,High School,Manager,IT,29.0,111699
37.0,Female,PhD,Manager,Finance,12.0,105696
45.0,Male,High School,Analyst,IT,23.0,78063
48.0,Female,Bachelor's,Director,IT,22.0,118907
51.0,Male,PhD,Director,Finance,29.0,140994
27.0,Female,PhD,Analyst,HR,5.0,76319
37.0,Male,Bachelor's,Engineer,HR,12.0,71111
40.0,Female,Master's,Intern,Finance,17.0,66019
52.0,Male,Bachelor's,Director,Marketing,29.0,133062
53.0,Male,Bachelor's,Manager,Operations,28.0,112670
28.0,Male,Bachelor's,Analyst,IT,3.0,57153
30.0,Male,Master's,Engineer,Operations,8.0,93480
48.0,Male,Master's,Manager,Finance,22.0,104561
24.0,Male,Master's,Analyst,IT,2.0,62453
43.0,Female,Master's,Engineer,Operations,21.0,110738
47.0,Female,High School,Manager,HR,23.0,101748
45.0,Female,Bachelor's,Engineer,Marketing,23.0,96533
33.0,Male,High School,Director,Operations,7.0,86494
34.0,Male,Bachelor's,Director,Marketing,12.0,100031
48.0,Female,Bachelor's,Engineer,HR,23.0,86160
51.0,Male,Master's,Director,Operations,25.0,129120
46.0,Male,Bachelor's,Analyst,Finance,21.0,81795
34.0,Female,High School,Director,IT,10.0,93758
33.0,Female,High School,Analyst,HR,9.0,60147
36.0,Female,Master's,Analyst,Marketing,10.0,77373
25.0,Female,Master's,Manager,Marketing,2.0,86101
47.0,Female,High School,Engineer,HR,24.0,91640
39.0,Female,High School,Intern,Finance,13.0,49208
39.0,Female,Master's,Engineer,Finance,13.0,85723
54.0,Male,High School,Engineer,Marketing,,102186
42.0,Male,Master's,Engineer,HR,18.0,96194
53.0,Male,Master's,Engineer,HR,27.0,111824
49.0,Male,High School,Engineer,IT,27.0,107423
28.0,Female,High School,Manager,Marketing,3.0,75059
49.0,Male,PhD,Director,Finance,25.0,138476
25.0,Male,Bachelor's,Intern,Operations,0.0,30382
25.0,Male,Bachelor's,Intern,Finance,1.0,45051
27.0,Male,Master's,Engineer,Finance,5.0,62885
53.0,Female,PhD,Manager,Operations,29.0,131391
37.0,Male,PhD,Engineer,Marketing,12.0,86597
37.0,Female,Master's,Manager,IT,13.0,99062
52.0,Female,Bachelor's,Engineer,Finance,27.0,99998
26.0,Male,High School,Intern,Finance,0.0,30742
49.0,Female,Master's,Manager,Marketing,27.0,121462
49.0,Male,Bachelor's,Intern,Marketing,24.0,78734
30.0,Female,Bachelor's,Director,HR,,99701
40.0,Female,PhD,Intern,Marketing,17.0,83697
37.0,Female,High School,Director,Marketing,13.0,90444
27.0,Male,Bachelor's,Engineer,Finance,1.0,62840
49.0,Male,High School,Engineer,IT,23.0,91633
34.0,Male,Bachelor's,Engineer,Finance,11.0,78935
50.0,Male,High School,Analyst,Marketing,26.0,78067
49.0,Female,High School,Engineer,HR,23.0,84723
26.0,Male,High School,Engineer,IT,0.0,63252
53.0,Female,Master's,Engineer,HR,29.0,115854
45.0,Female,Master's,Intern,Operations,20.0,65467
37.0,Female,Bachelor's,Intern,HR,14.0,52747
36.0,Female,PhD,Analyst,HR,10.0,70519
,Female,Bachelor's,Engineer,Marketing,17.0,80542
41.0,Female,Bachelor's,Engineer,Marketing,16.0,80116
27.0,Female,Master's,Engineer,Marketing,2.0,79091
39.0,Female,Bachelor's,Director,Marketing,14.0,109667
34.0,Female,PhD,Engineer,Marketing,12.0,91748
24.0,Female,High School,Manager,HR,2.0,65037
36.0,Female,PhD,Intern,Operations,,68970
48.0,Male,High School,Director,Marketing,,111026
32.0,Female,Master's,Analyst,Operations,8.0,68584
31.0,Male,Bachelor's,Manager,Operations,9.0,83331
24.0,Male,PhD,Engineer,Finance,0.0,76789
50.0,Female,High School,Engineer,Finance,26.0,86427
26.0,Female,Bachelor's,Analyst,IT,1.0,51164
50.0,Female,PhD,Engineer,Finance,24.0,115103
35.0,Female,Bachelor's,Engineer,Marketing,13.0,76337
26.0,Male,Master's,Engineer,Operations,4.0,72445
48.0,Male,Master's,Manager,IT,24.0,117054
47.0,Female,Bachelor's,Director,Finance,21.0,121829
33.0,Male,Master's,Analyst,HR,9.0,77191
48.0,Female,Bachelor's,Analyst,IT,25.0,86990
40.0,Female,PhD,Director,Marketing,18.0,130418
32.0,Female,High School,Analyst,Operations,7.0,51769
37.0,Male,Bachelor's,Intern,Marketing,12.0,62091
,Male,PhD,Manager,Marketing,8.0,110332
39.0,Male,Master's,Engineer,HR,17.0,99558
46.0,Female,Bachelor's,Analyst,HR,24.0,88177
28.0,Male,Master's,Analyst,Operations,3.0,64711
29.0,Female,Bachelor's,Analyst,Finance,7.0,61164
29.0,Female,Bachelor's,Analyst,Marketing,4.0,52191
51.0,Male,Bachelor's,Manager,Finance,28.0,113339
28.0,Female,Bachelor's,Analyst,Operations,5.0,58759
42.0,Female,Bachelor's,Engineer,Marketing,19.0,87960
28.0,Female,High School,Manager,Finance,4.0,65232
51.0,Female,PhD,Engineer,Marketing,27.0,117494
26.0,Male,PhD,Analyst,HR,0.0,57960
53.0,Female,Master's,Analyst,HR,27.0,108012
44.0,Female,Bachelor's,Analyst,IT,18.0,74167
52.0,Female,Bachelor's,Manager,Operations,29.0,117358
26.0,Male,Master's,Engineer,Finance,3.0,80464
23.0,Female,Master's,Director,Marketing,0.0,106317
50.0,Female,Bachelor's,Engineer,IT,28.0,103037
40.0,Male,PhD,Engineer,Operations,18.0,101025
26.0,Female,Master's,Engineer,Operations,,77726
38.0,Male,PhD,Manager,Operations,13.0,109293
39.0,Female,Master's,Engineer,Finance,13.0,88803
32.0,Male,Master's,Analyst,HR,8.0,70958
44.0,Female,Bachelor's,Manager,IT,,103199
35.0,Male,PhD,Engineer,Finance,10.0,103109
37.0,Male,Master's,Engineer,Marketing,15.0,85803
41.0,Female,High School,Manager,Finance,18.0,102665
25.0,Female,High School,Engineer,Marketing,3.0,57411
